Image,Latitude,Longitude,Altitude
DJI_0955.JPG,34.10636,-117.71246,377.917
DJI_0956.JPG,34.10636,-117.71246,377.917
DJI_0957.JPG,34.10636,-117.71246,377.617
DJI_0958.JPG,34.10635,-117.71246,377.617
DJI_0959.JPG,34.10637,-117.71245,377.217
DJI_0960.JPG,34.10637,-117.71247,377.417
DJI_0961.JPG,34.10637,-117.71246,377.117
DJI_0962.JPG,34.10637,-117.71246,377.417
DJI_0963.JPG,34.10637,-117.71246,377.217
DJI_0964.JPG,34.10637,-117.71246,378.417
DJI_0965.JPG,34.10637,-117.71246,378.417
DJI_0966.JPG,34.10636,-117.71246,377.517
DJI_0967.JPG,34.10636,-117.71246,377.617
DJI_0968.JPG,34.10637,-117.71246,377.917
DJI_0969.JPG,34.10637,-117.71246,378.317
DJI_0970.JPG,34.10635,-117.71247,378.817
DJI_0971.JPG,34.10636,-117.71247,378.217
DJI_0972.JPG,34.10635,-117.71246,377.917
DJI_0973.JPG,34.10634,-117.71245,378.117
DJI_0974.JPG,34.10635,-117.71244,378.117
DJI_0975.JPG,34.10635,-117.71244,377.917
DJI_0976.JPG,34.10635,-117.71244,378.117
DJI_0977.JPG,34.10636,-117.71245,378.517
DJI_0978.JPG,34.10636,-117.71245,378.317
DJI_0979.JPG,34.10637,-117.71245,378.917
DJI_0980.JPG,34.10637,-117.71245,378.217
