Image_calc,Latitude_calc,Longitude_calc,Altitude_calc,common_name,Image_exif,Latitude_exif,Longitude_exif,Altitude_exif,error_lat,error_lon,error_alt,mean_lat,error_lat_m,error_lon_m,error_horizontal_m
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0341.JPG,37.421890472120566,-122.08416265315432,357.7423218588888,0341.JPG,DJI_0341.JPG,34.10518,-117.71344,311.312,3.316710472120569,-4.370722653154317,46.43032185888876,35.76353523606028,369216.2097564617,-394803.2197297234,540546.1977073594
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0342.JPG,37.42183803025061,-122.0836437275638,349.72296360567856,0342.JPG,DJI_0342.JPG,34.10518,-117.71344,311.298,3.316658030250615,-4.370203727563791,38.424963605678556,35.76350901512531,369210.37192749843,-394756.4757939,540508.0701710768
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0343.JPG,37.42217503480278,-122.08394812008464,360.4461536814818,0343.JPG,DJI_0343.JPG,34.10518,-117.71344,311.285,3.3169950348027797,-4.3705081200846365,49.16115368148178,35.76367751740139,369247.88727424544,-394783.13505195855,540553.1666524088
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0344.JPG,37.42208830904161,-122.08338837262085,347.70747625247054,0344.JPG,DJI_0344.JPG,34.10518,-117.71344,311.323,3.316908309041615,-4.36994837262084,36.38447625247056,35.7636341545208,369238.2329625126,-394732.7888591554,540509.803132011
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0345.JPG,37.42205998268513,-122.08408966456862,362.39918826077536,0345.JPG,DJI_0345.JPG,34.10518,-117.71344,311.5,3.31687998268513,-4.370649664568617,50.89918826077536,35.763619991342566,369235.07967250864,-394796.20610585756,540553.9643887024
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0346.JPG,37.42192071122111,-122.08426506026336,374.50994648715937,0346.JPG,DJI_0346.JPG,34.10518,-117.71344,311.598,3.316740711221115,-4.370825060263357,62.911946487159355,35.763550355610555,369219.57597313455,-394812.3950262865,540555.1984285914
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0347.JPG,37.42205195967781,-122.08399762899468,357.48857679466084,0347.JPG,DJI_0347.JPG,34.10518,-117.71344,311.621,3.316871959677812,-4.370557628994675,45.86757679466086,35.7636159798389,369234.186551334,-394787.9125372706,540547.2971015219
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0348.JPG,37.42181269238861,-122.08432707882656,337.2672904171275,0348.JPG,DJI_0348.JPG,34.10518,-117.71344,311.612,3.316632692388616,-4.370887078826556,25.655290417127503,35.7634963461943,369207.55131670076,-394818.26516208396,540551.2727344853
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0349.JPG,37.42227548556316,-122.08415692759309,336.51697333253577,0349.JPG,DJI_0349.JPG,34.10517,-117.71344,312.608,3.317105485563161,-4.3707169275930795,23.908973332535766,35.76372274278158,369260.1826528911,-394801.77194742044,540575.176664328
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0350.JPG,37.422003290131215,-122.08406022436884,317.0065716873396,0350.JPG,DJI_0350.JPG,34.10517,-117.71344,312.608,3.316833290131214,-4.370620224368835,4.398571687339597,35.76358664506561,369229.88185740676,-394793.71229760256,540548.5925669927
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0351.JPG,37.422034496690166,-122.08386642852192,327.3278322528424,0351.JPG,DJI_0351.JPG,34.10517,-117.71344,312.708,3.3168644966901653,-4.37042642852191,14.6198322528424,35.76360224834508,369233.3557715492,-394776.12948037963,540538.1239300601
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0352.JPG,37.42208673831863,-122.08413553337236,319.0428479677216,0352.JPG,DJI_0352.JPG,34.10517,-117.71344,313.008,3.316916738318632,-4.370695533372356,6.034847967721646,35.76362836915932,369239.1713096301,-394800.3078078703,540559.7549527818
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0353.JPG,37.422423857302746,-122.08418684361104,337.71636851896176,0353.JPG,DJI_0353.JPG,34.10517,-117.71344,313.708,3.3172538573027452,-4.37074684361103,24.00836851896173,35.763796928651374,369276.6993949416,-394804.10603756673,540588.1638180254
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0354.JPG,37.42186985143937,-122.08400325923368,324.9219746929101,0354.JPG,DJI_0354.JPG,34.10517,-117.71344,314.108,3.316699851439367,-4.370563259233677,10.813974692910108,35.763519925719685,369215.0274622303,-394788.897811012,540534.9298045124
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0355.JPG,37.42201533289944,-122.08411196557434,330.37314276172674,0355.JPG,DJI_0355.JPG,34.10517,-117.71344,314.508,3.3168453328994403,-4.370671965574331,15.865142761726759,35.763592666449725,369231.22245836566,-394798.3561446013,540552.8999576069
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0356.JPG,37.42181508777778,-122.08395873626192,326.0498677258021,0356.JPG,DJI_0356.JPG,34.10517,-117.71344,315.108,3.316645087777779,-4.370518736261914,10.94186772580207,35.76349254388889,369208.93117142236,-394785.0119822936,540527.9276250246
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0357.JPG,37.42224444451866,-122.08407063915892,335.8814788168228,0357.JPG,DJI_0357.JPG,34.10517,-117.71344,315.908,3.31707444451866,-4.370630639158918,19.973478816822762,35.76370722225933,369256.7271638172,-394794.05464076705,540567.1800391055
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0358.JPG,37.421918609876094,-122.08414224554116,333.97372317129634,0358.JPG,DJI_0358.JPG,34.10516,-117.71344,317.008,3.3167586098760964,-4.370702245541153,16.96572317129636,35.76353930493805,369221.5684514071,-394801.35613566864,540548.4968217746
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0359.JPG,37.42205084495413,-122.08388327522032,344.3059066437369,0359.JPG,DJI_0359.JPG,34.10516,-117.71344,318.408,3.3168908449541306,-4.37044327522031,25.89790664373686,35.76360542247706,369236.2888602938,-394777.6354730853,540541.2273647982
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0360.JPG,37.42198658252006,-122.08401582081328,341.33393815226543,0360.JPG,DJI_0360.JPG,34.10516,-117.71344,319.808,3.316826582520065,-4.370575820813272,21.52593815226544,35.76357329126003,369229.13516613364,-394789.76764211553,540545.201523838
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0361.JPG,37.42184641702372,-122.08396281469072,352.7313574695968,0361.JPG,DJI_0361.JPG,34.10516,-117.71344,321.408,3.3166864170237247,-4.370522814690716,31.323357469596772,35.763503208511864,369213.531943081,-394785.32745696994,540531.3006155994
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0362.JPG,37.42216959016925,-122.08416296937598,359.9123268346832,0362.JPG,DJI_0362.JPG,34.10516,-117.71344,323.208,3.317009590169249,-4.370722969375976,36.70432683468317,35.76366479508462,369249.5075776408,-394802.60529050604,540568.493338727
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0363.JPG,37.42210096118862,-122.08429418745877,375.239854386374,0363.JPG,DJI_0363.JPG,34.10516,-117.71344,325.108,3.316940961188621,-4.370854187458761,50.131854386374016,35.76363048059431,369241.8677995173,-394814.6283843987,540572.0559947463
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0364.JPG,37.42209550265172,-122.0837309980062,363.4200908755729,0364.JPG,DJI_0364.JPG,34.10516,-117.71344,327.408,3.3169355026517238,-4.3702909980061975,36.01209087557288,35.763627751325856,369241.2601551899,-394763.7696218445,540534.496592994
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0365.JPG,37.42209206092679,-122.08418782822912,358.5617885402465,0365.JPG,DJI_0365.JPG,34.10516,-117.71344,329.708,3.3169320609267956,-4.3707478282291135,28.853788540246455,35.7636260304634,369240.87702237087,-394805.04315406043,540564.3785564576
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0366.JPG,37.42184915184557,-122.08403282441952,387.6659530842471,0366.JPG,DJI_0366.JPG,34.10516,-117.71344,332.008,3.316689151845573,-4.370592824419518,55.65795308424714,35.76350457592278,369213.83638344915,-394791.6445854626,540536.122392832
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0367.JPG,37.42202004814338,-122.0841075079111,338.889064708427,0367.JPG,DJI_0367.JPG,34.10516,-117.71344,334.608,3.3168600481433828,-4.370667507911094,4.281064708426982,35.76359002407169,369232.86055932136,-394797.9666024013,540553.7343781929
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0368.JPG,37.42235598254473,-122.08429185399032,341.5637919767564,0368.JPG,DJI_0368.JPG,34.10516,-117.71344,337.508,3.3171959825447317,-4.370851853990317,4.0557919767564385,35.763757991272364,369270.25677687954,-394813.78474731185,540590.83155984
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0369.JPG,37.42221499305675,-122.08381281585844,364.7575051518586,0369.JPG,DJI_0369.JPG,34.10516,-117.71344,340.508,3.3170549930567503,-4.370372815858431,24.249505151858614,35.76368749652838,369254.5618270775,-394770.86364909424,540548.7639578494
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0370.JPG,37.42213739734395,-122.08416001203692,351.7866871762223,0370.JPG,DJI_0370.JPG,34.10516,-117.71344,343.608,3.3169773973439547,-4.370720012036912,8.178687176222297,35.76364869867197,369245.92387232906,-394802.41804408963,540565.9086455507
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0371.JPG,37.42226676702823,-122.08436071667236,381.26916066281456,0371.JPG,DJI_0371.JPG,34.10517,-117.71344,347.008,3.3170967670282323,-4.370920716672359,34.261160662814575,35.76371838351412,369259.2121055828,-394820.20161385933,540587.973716808
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0372.JPG,37.42232664168655,-122.08413216198532,346.80494040759777,0372.JPG,DJI_0372.JPG,34.10516,-117.71344,350.308,3.317166641686555,-4.370692161985318,-3.5030595924022236,35.763743320843275,369266.9905525473,-394799.4327700895,540578.1187093309
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0373.JPG,37.422151352090445,-122.08367184286338,377.2281034854311,0373.JPG,DJI_0373.JPG,34.10516,-117.71344,351.408,3.3169913520904473,-4.370231842863376,25.820103485431105,35.76365567604522,369247.4773147086,-394758.2876249445,540534.7400046131
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0374.JPG,37.4221730345537,-122.08413824886296,344.78657456012326,0374.JPG,DJI_0374.JPG,34.10517,-117.71344,351.008,3.3170030345537,-4.370698248862951,-6.221425439876725,35.76367151727685,369248.7778065179,-394800.33895151713,540566.3396363484
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0375.JPG,37.42213086115564,-122.08427366815424,364.5651462291336,0375.JPG,DJI_0375.JPG,34.10517,-117.71344,348.908,3.3169608611556356,-4.3708336681542335,15.65714622913356,35.76365043057782,369244.08306384535,-394812.67588271113,540572.1431181288
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0376.JPG,37.42194009712544,-122.0841642117857,361.332885765343,0376.JPG,DJI_0376.JPG,34.10517,-117.71344,346.308,3.316770097125442,-4.370724211785699,15.024885765343015,35.76355504856272,369222.8472120042,-394803.26218979433,540550.7624072345
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0377.JPG,37.42249012232188,-122.08416714821804,342.9667204872573,0377.JPG,DJI_0377.JPG,34.10516,-117.71344,344.208,3.3173301223218843,-4.370727148218037,-1.2412795127427216,35.763825061160944,369285.18921687215,-394802.18735442596,540592.5620231751
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0378.JPG,37.42224720671173,-122.08404053790504,376.5051764939668,0378.JPG,DJI_0378.JPG,34.10517,-117.71344,341.908,3.31707720671173,-4.370600537905034,34.5971764939668,35.763708603355866,369257.03465114976,-394791.32877478824,540565.3992951486
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0379.JPG,37.421822498682594,-122.08424396346014,356.9597783796431,0379.JPG,DJI_0379.JPG,34.10517,-117.71344,339.708,3.3166524986825934,-4.3708039634601334,17.2517783796431,35.7634962493413,369209.7561533463,-394810.7579071163,540547.2954312185
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0380.JPG,37.42217332580887,-122.08387032283694,355.3196964498284,0380.JPG,DJI_0380.JPG,34.10517,-117.71344,336.908,3.3170033258088694,-4.370430322836938,18.411696449828412,35.763671662904436,369248.81022904336,-394776.1367672014,540548.686074067
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0381.JPG,37.42173748994427,-122.08373230403797,352.9144009390405,0381.JPG,DJI_0381.JPG,34.10517,-117.71344,333.908,3.316567489944269,-4.37029230403796,19.006400939040475,35.76345374497214,369200.2929805961,-394764.7511039061,540507.229416117
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0382.JPG,37.42223114502547,-122.08414402891866,364.4989055047101,0382.JPG,DJI_0382.JPG,34.10516,-117.71344,332.308,3.317071145025473,-4.370704028918652,32.19090550471009,35.76369557251273,369256.3598642356,-394800.74167136534,540571.8129207683
