Image_calc,Latitude_calc,Longitude_calc,Altitude_calc,common_name,Image_exif,Latitude_exif,Longitude_exif,Altitude_exif,error_lat,error_lon,error_alt,mean_lat,error_lat_m,error_lon_m,error_horizontal_m
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0019.JPG,34.10632,-117.71255,409.95,0019.JPG,DJI_0019.JPG,34.10631,-117.71246,412.717,9.999999996068709e-06,-9.000000000014552e-05,-2.766999999999996,34.106314999999995,1.1131999995623687,-8.295551745924842,8.369909976119358
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0020.JPG,34.10629,-117.71256,410.45,0020.JPG,DJI_0020.JPG,34.10632,-117.71246,412.817,-2.9999999995311555e-05,-0.00010000000000331966,-2.3670000000000186,34.106305,-3.3395999994780823,-9.217280807428319,9.803631655641722
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0021.JPG,34.10636,-117.7126,401.99,0021.JPG,DJI_0021.JPG,34.10648,-117.71242,413.317,-0.00011999999999545707,-0.00018000000000029104,-11.326999999999998,34.10642,-13.358399999494281,-16.591082901347015,21.300490191210578
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0022.JPG,34.10632,-117.71245,409.07,0022.JPG,DJI_0022.JPG,34.1064,-117.71248,413.117,-8.000000000407681e-05,2.9999999995311555e-05,-4.0470000000000255,34.106359999999995,-8.90560000045383,2.765182444122609,9.325017175178132
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0023.JPG,34.10649,-117.71253,398.88,0023.JPG,DJI_0023.JPG,34.10639,-117.71252,413.317,0.00010000000000331966,-1.0000000003174137e-05,-14.437000000000012,34.10644,11.132000000369544,-0.9217266102544222,11.170094178308375
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0024.JPG,34.10636,-117.71246,414.21,0024.JPG,DJI_0024.JPG,34.10635,-117.71253,413.317,1.0000000003174137e-05,7.00000000080081e-05,0.8929999999999723,34.106355,1.1132000003533449,6.452092752671399,6.547420494352068
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0025.JPG,34.10636,-117.71246,414.2,0025.JPG,DJI_0025.JPG,34.1063,-117.71251,413.217,6.0000000004833964e-05,5.000000000165983e-05,0.9830000000000041,34.10633,6.679200000538117,4.608639041910182,8.114879325400175
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0026.JPG,34.10636,-117.71248,414.21,0026.JPG,DJI_0026.JPG,34.10629,-117.71247,413.617,7.000000000090267e-05,-1.0000000003174137e-05,0.5929999999999609,34.106325,7.792400000100486,-0.9217278631161804,7.846724158221109
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0027.JPG,34.10635,-117.71248,414.21,0027.JPG,DJI_0027.JPG,34.1063,-117.71248,412.717,5.000000000165983e-05,0.0,1.492999999999995,34.106325,5.566000000184772,0.0,5.566000000184772
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0028.JPG,34.1063,-117.71254,396.96,0028.JPG,DJI_0028.JPG,34.10632,-117.7125,413.617,-1.9999999999242846e-05,-3.999999999848569e-05,-16.65700000000004,34.10630999999999,-2.2263999999157136,-3.6869121048207765,4.306991737663152
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0029.JPG,34.10617,-117.71255,391.01,0029.JPG,DJI_0029.JPG,34.10631,-117.71242,412.417,-0.00014000000000180535,-0.0001299999999986312,-21.406999999999982,34.10624,-15.584800000200971,-11.982474254917081,19.658730384132515
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0030.JPG,34.10633,-117.71242,410.72,0030.JPG,DJI_0030.JPG,34.10633,-117.71241,412.017,0.0,-9.999999988963282e-06,-1.2969999999999686,34.10633,0.0,-0.9217278073341532,0.9217278073341532
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0031.JPG,34.10636,-117.71248,414.21,0031.JPG,DJI_0031.JPG,34.10634,-117.71243,412.017,1.9999999999242846e-05,-5.000000000165983e-05,2.1929999999999836,34.106350000000006,2.2263999999157136,-4.608637952466368,5.118241957600098
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0032.JPG,34.10643,-117.71254,385.25,0032.JPG,DJI_0032.JPG,34.10634,-117.71243,412.017,9.000000000014552e-05,-0.00011000000000649379,-26.766999999999996,34.106385,10.0188000000162,-10.138999301326326,14.253969982872151
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0033.JPG,34.10629,-117.71243,408.65,0033.JPG,DJI_0033.JPG,34.10636,-117.71243,412.417,-7.000000000090267e-05,0.0,-3.766999999999996,34.106325,-7.792400000100486,0.0,7.792400000100486
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0034.JPG,34.10643,-117.71283,386.79,0034.JPG,DJI_0034.JPG,34.10638,-117.71245,412.317,5.000000000165983e-05,-0.0003799999999927195,-25.526999999999987,34.106405,5.566000000184772,-35.02562566751289,35.46512102619692
