Image,Latitude,Longitude,Altitude
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0019.JPG,34.10632,-117.71255,409.95
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0020.JPG,34.10629,-117.71256,410.45
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0021.JPG,34.10636,-117.71260,401.99
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0022.JPG,34.10632,-117.71245,409.07
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0023.JPG,34.10649,-117.71253,398.88
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0024.JPG,34.10636,-117.71246,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0025.JPG,34.10636,-117.71246,414.20
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0026.JPG,34.10636,-117.71248,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0027.JPG,34.10635,-117.71248,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0028.JPG,34.10630,-117.71254,396.96
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0029.JPG,34.10617,-117.71255,391.01
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0030.JPG,34.10633,-117.71242,410.72
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0031.JPG,34.10636,-117.71248,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0032.JPG,34.10643,-117.71254,385.25
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0033.JPG,34.10629,-117.71243,408.65
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0034.JPG,34.10643,-117.71283,386.79
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0035.JPG,34.10647,-117.71244,414.45
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0036.JPG,34.10634,-117.71223,392.91
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0037.JPG,34.10636,-117.71250,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0038.JPG,34.10636,-117.71249,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0039.JPG,34.10631,-117.71268,393.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0040.JPG,34.10640,-117.71251,403.29
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0041.JPG,34.10636,-117.71248,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0042.JPG,34.10646,-117.71259,405.02
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0043.JPG,34.10635,-117.71247,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0044.JPG,34.10636,-117.71248,414.20
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0045.JPG,34.10644,-117.71240,382.76
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0046.JPG,34.10636,-117.71247,414.22
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0047.JPG,34.10651,-117.71256,403.57
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0048.JPG,34.10646,-117.71250,386.32
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0049.JPG,34.10628,-117.71260,408.99
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0050.JPG,34.10636,-117.71247,414.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0051.JPG,34.10646,-117.71232,401.21
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0052.JPG,34.10635,-117.71250,414.16
C:/Users/joshu/Desktop/PrimeAir_Drone_Pics/Drone_Pics_2_19_25/40m_pics\DJI_0053.JPG,34.10636,-117.71247,414.21
