Image,Latitude,Longitude,Altitude
DJI_0019.JPG,34.10631,-117.71246,412.717
DJI_0020.JPG,34.10632,-117.71246,412.817
DJI_0021.JPG,34.10648,-117.71242,413.317
DJI_0022.JPG,34.1064,-117.71248,413.117
DJI_0023.JPG,34.10639,-117.71252,413.317
DJI_0024.JPG,34.10635,-117.71253,413.317
DJI_0025.JPG,34.1063,-117.71251,413.217
DJI_0026.JPG,34.10629,-117.71247,413.617
DJI_0027.JPG,34.1063,-117.71248,412.717
DJI_0028.JPG,34.10632,-117.7125,413.617
DJI_0029.JPG,34.10631,-117.71242,412.417
DJI_0030.JPG,34.10633,-117.71241,412.017
DJI_0031.JPG,34.10634,-117.71243,412.017
DJI_0032.JPG,34.10634,-117.71243,412.017
DJI_0033.JPG,34.10636,-117.71243,412.417
DJI_0034.JPG,34.10638,-117.71245,412.317
DJI_0035.JPG,34.10638,-117.71247,411.717
DJI_0036.JPG,34.10637,-117.71249,412.917
DJI_0037.JPG,34.10636,-117.7125,412.817
DJI_0038.JPG,34.10634,-117.71251,413.617
DJI_0039.JPG,34.10633,-117.7125,413.217
DJI_0040.JPG,34.10631,-117.71247,413.117
DJI_0041.JPG,34.10626,-117.71249,413.317
DJI_0042.JPG,34.10626,-117.71252,413.817
DJI_0043.JPG,34.10626,-117.71252,413.117
DJI_0044.JPG,34.10628,-117.71256,413.317
DJI_0045.JPG,34.10632,-117.71258,413.317
DJI_0046.JPG,34.10639,-117.71258,413.517
DJI_0047.JPG,34.10636,-117.71249,413.117
DJI_0048.JPG,34.10638,-117.71247,413.717
DJI_0049.JPG,34.10639,-117.71246,413.317
DJI_0050.JPG,34.10638,-117.71242,413.117
DJI_0051.JPG,34.10636,-117.71241,413.317
DJI_0052.JPG,34.10633,-117.71242,413.217
DJI_0053.JPG,34.10631,-117.71243,413.617
